,ID,Label,x,y,z
69,70,lh.inferiortemporal,-51.03323408706848,-30.228534642311104,-24.637965719803653
70,71,lh.middletemporal,-57.70202566877996,-19.00726766661512,-15.6430338642338
71,72,lh.bankssts,-53.876819407008085,-43.49919137466307,8.757951482479783
72,73,lh.superiortemporal,-52.74992583803026,-6.69022545238802,-5.973894986650848
73,74,lh.transversetemporal,-44.50974658869396,-20.813840155945414,9.400584795321635
74,75,lh.insula,-36.64277530235519,0.5928707829407927,1.7402928071292223
75,76,Left-Thalamus-Proper,-11.313992861718674,-19.064153015466275,7.391415759128762
76,77,Left-Caudate,-13.070125658694778,9.085123631941627,10.973449533846775
77,78,Left-Putamen,-25.538640235403435,0.6730679882298318,0.9464147436890187
78,79,Left-Pallidum,-20.29076396807298,-5.292664386164958,-0.09730140630938422
79,80,Left-Accumbens-area,-8.141025641025635,11.415954415954417,-6.320512820512818
80,81,Left-Hippocampus,-25.50008382229673,-22.662196144174345,-13.692372170997487
81,82,Left-Amygdala,-22.718270571827063,-5.119944211994422,-18.83635518363552
82,83,Brain-Stem,-6.077964419873837,-31.50152385002481,-32.85392302785456
